,sample_id,species,petal_length,petal_width
0,g4JZlAtiN4mBGyE,versicolor,4.589242619079317,1.306969295136263
1,BwWealRi00L4RH1,versicolor,4.836182703586678,1.3842440492091577
2,ZdyiDoTAArjRj3X,virginica,5.510279696068056,1.7869673007778917
3,0NqN8AaLZ8jelu^,setosa,1.4346067378811254,0.4196944434206537
4,8nqRlCsXKJjHafD,versicolor,3.950310285471313,1.22427456391351
5,otVBvvcynjp7UzN,setosa,1.506728799518841,0.3259624839249401
6,fWIrmBqHQtz8xsF,virginica,5.604368223670195,2.1572429944021607
7,ARwpVhHYWHt9wfY,setosa,1.6140606128190988,0.19914263457656528
8,F5F0rlPyu#7r6qZ,setosa,1.7028967479124455,0.09568608932374753
9,yi19vtGTuYKj4eZ,versicolor,4.268391936796625,1.274063641622041
10,YOUAeEtFDmkZ^Fj,virginica,5.014562463391163,1.963292351307343
11,mJXjeWxnNsSFDrT,virginica,5.341064322499436,2.041667334778604
12,6LRAdYzEePbHx.v,setosa,1.3252468615669954,0.39509416263027586
13,VlZdQIneAs6HWnK,setosa,1.572765698554209,0.1243418843849728
14,7eMPKj06G5OvZMj,virginica,5.44638652680034,1.9122448052058263
15,lsASAgtVjFRU1Qx,virginica,5.016659462654536,1.6842187096321481
16,vqSnrKjDlQDgjJ5,versicolor,3.320587066159768,1.3863330209350226
17,kyKhRLVcS0rCv!P,versicolor,4.524713445359916,1.3209845258693267
18,VusNKl:RCT@OGn7,versicolor,4.472724022888777,0.9000112567981279
19,URnphXM&tofspVk,setosa,2.0518378398162804,0.43813671272111565
20,pNDDcwiseh3IIaO,setosa,1.4650578408018633,0.3029596567888669
21,BtUCKOq7JvnPlOs,virginica,5.042649446534339,1.9549163000101533
22,RmyJiI6DvoSRs0h,setosa,1.6747449354137511,0.411757995528678
23,RCBCwkJWUHyVwqV,versicolor,3.702689984126751,1.4224742121603509
24,P6vSkw5eLzuitjC,virginica,5.307303511993814,1.7827277961611565
25,ZrvCi^tjWUU4bEY,virginica,6.791104532264694,2.3718369259025036
26,PQtAlWI8lvfKwjg,versicolor,4.537703094358358,1.4150216069657962
27,CmPNAjD$OJz8xtz,versicolor,4.345018907386721,1.6324995290508904
28,dv?P3qdIEdTsXG0,versicolor,4.617983468399989,1.0880820581054977
29,bRJfblUTBih4vXZ,virginica,5.699914933347333,2.0110195969662934
30,NQQOaLqpblOQuud,versicolor,4.524105844912171,1.3157726014302913
31,Kare66K2FihEV93,versicolor,5.391703187383987,1.3035326282133521
32,KJyMLpvdNBdmLTR,setosa,1.7137349504193928,0.21364530342600369
33,.YMSQuwaWaPchGH,setosa,1.519535031215457,0.12209582037452302
34,uCCSdxHpT@4KB&D,virginica,6.352339000404332,2.3468989022367586
35,VeqxTj7HsOytlDc,setosa,1.386142392123051,0.11693333339605913
36,O3^muUuTPXgCgBZ,versicolor,3.6437528626459152,1.4898827075101526
37,MSpolLlZEykfAPj,virginica,4.581417869606838,1.5835348859626246
38,CK8cRCbPRzdhrQZ,versicolor,4.044254372225062,1.4043907209159043
39,YlmIpkStw5mWwxr,versicolor,3.778708173234722,1.1925177446304405
40,VBsso&DLWhoavWN,virginica,4.969315789994214,2.142619425305027
41,uvhivHYmHKkbZbe,versicolor,4.710993109776221,1.4349675290334258
42,AYyUNGIOflHwKVz,virginica,6.071931131887528,2.3031342070529313
43,azdzItv7n4Ob4VW,versicolor,3.9430886718439258,1.560527593111106
44,tBkU17D%pLZu2iq,virginica,5.215449720793379,2.3728069319589795
45,ybv6JZso4wx5G9S,versicolor,4.452328388600909,1.3634199296991185
46,ZcmFr4G9gwtUFpH,setosa,1.2190580117020116,0.18968299111973275
47,GuCsuS1*XYdCoFw,versicolor,4.21459202771776,1.2040170588210737
48,phLLoXMzigjOK01,setosa,1.3850202823608497,-0.003329412747451327
49,RCpoVUsSf1lcnsx,virginica,5.0539864049468255,1.9595961107676327
50,CtcfDpZzV.zUpU#,setosa,1.454251982099107,0.1358851721158512
51,F7QQBkULCQWsPPq,virginica,4.990617971492165,1.9252230839958648
52,xOTTfUDOENgKe&8,versicolor,3.8662175654707154,1.3571196576788667
53,kbk8teAExFXRVmo,virginica,5.0748879271420515,1.9418734022950992
54,!bbMXD61MItc2AP,setosa,1.6897659112793975,0.24468272049805753
55,NCNzLLDGLZ0bFwT,virginica,5.605374220007039,1.9212443512240818
