,sample_id,species,sepal_length,sepal_width
0,kzkn5q6TioixrLl,virginica,6.478158982669269,3.035585122674086
1,YkBvRsNxkaMuaqN,versicolor,5.520372205541104,3.0064241634720945
2,RCpoVUsSf1lcnsx,virginica,5.609392804253678,3.1736029382646995
3,bRJfblUTBih4vXZ,virginica,7.042213770736246,2.808180863608765
4,7eMPKj06G5OvZMj,virginica,6.996548195048431,3.022570147257491
5,k1$h*pkrpRerFKW,setosa,4.92460798615698,3.225929840881756
6,Lg1WLhnMAVEZD:P,versicolor,5.334831016388134,2.6316736239402543
7,F5F0rlPyu#7r6qZ,setosa,5.192555667123526,3.526238205764478
8,9G?aZNTm2KixCOp,virginica,6.991825524288825,2.7518099296647733
9,lsASAgtVjFRU1Qx,virginica,6.930098792091824,2.9864170522176336
10,BICKlsaIqOVWeVT,virginica,6.941976364234012,3.4218957189067445
11,mJXjeWxnNsSFDrT,virginica,5.103174802079782,3.3031543641860135
12,BxP0GyckoyhXKHK,setosa,5.3085892956937455,4.1290649504323005
13,UPVhwT9qrxvjLe.,setosa,4.840696943183231,3.1769816988678974
14,uvhivHYmHKkbZbe,versicolor,6.591511511134872,2.865489941857779
15,JKRMlRaqxUpdB3L,versicolor,5.915061302945653,2.2031964118305454
16,Br4bELwbESkKF8n,versicolor,6.552824660332783,3.6077690025269216
17,RCBCwkJWUHyVwqV,versicolor,5.968878750155664,2.8161253155003547
18,2PWZqV7Hy^bBUxG,virginica,6.991066621003373,2.641208440702982
19,zrAXdMPKBuvDzNV,versicolor,5.518396367551679,2.9477736376969625
20,O3^muUuTPXgCgBZ,versicolor,5.474880254886754,2.6058388426455625
21,ePT1KDkgrbju23u,setosa,5.273547956835837,3.8414669665401404
22,p0OCgbys%FW6v4R,versicolor,5.65369993241325,2.2403864398538826
23,HTkRCaD7EEG&r0y,virginica,7.1230752352509565,3.386528778459727
24,fWIrmBqHQtz8xsF,virginica,6.456808705930319,2.805747126274423
25,YOUAeEtFDmkZ^Fj,virginica,6.246692474611914,2.53229212802269
26,wRkfYyPTwUzYYb0,versicolor,6.74838459492944,2.3664394305754906
27,Dg6LkF#AscyVtqZ,setosa,5.317308622123228,3.225617274463936
28,KK9EaMpQsrECdpL,setosa,5.554717227087107,3.584776438176998
29,kMuRQIlXRT6yvLe,versicolor,6.386228654645218,2.898714540921043
30,hFKryyGPPzdH?Po,versicolor,6.830949441195875,2.62513249811873
31,CmPNAjD$OJz8xtz,versicolor,5.7231894060888555,2.632849375915199
32,g4JZlAtiN4mBGyE,versicolor,5.844006342161014,3.341825347448392
33,lQCueDIqnAItdPv,virginica,6.689807230336441,2.6992625149342953
34,vfgAMrTcSf7HFRo,setosa,5.385517362712835,3.7639580086042463
35,VusNKl:RCT@OGn7,versicolor,5.926105254527613,2.5625399878873556
36,MN%Y!9LRNDRWvX@,versicolor,5.9144791343159895,2.4997887777379617
37,ujmKvEdVckY%dah,versicolor,6.3517008707371305,3.2813891515485216
38,kyKhRLVcS0rCv!P,versicolor,6.096254103586857,2.683841315888331
